word,freq
NBA,80
시즌,80
재개,62
르브론,62
선수,57
감독,53
조던,47
이유,45
영입,39
KBL,38
SK,37
농구,33
마이클,29
DB,28
우승,26
LA,26
마니아,25
LG,24
PO,24
삼성,23
훈련,23
MVP,23
KCC,22
레이커스,22
어빙,21
프로농구,20
리그,20
흑인,20
최고,20
제임스,20
부상,19
커리,19
오리온,19
계약,18
서울,18
미네라스,18
1위,18
있다,17
우리은행,17
재계약,17
왜,16
위해,16
슈터,16
외인,15
현대모비스,15
자이언,15
가장,15
선수들,15
다시,15
비시즌,15
노트,14
오늘,14
스타,14
올,14
코비,14
톱,13
워니,13
논란,13
오누아쿠,13
역대,13
이동환,13
완료,13
앤드원,13
핵심,13
구성,12
KGC,12
외국인,12
구단,12
어떻게,12
뛴다,12
릴라드,12
이대성,12
이현중,12
녹스,11
요키치,11
뉴욕,11
커즌스,11
브루클린,11
분노,11
연봉,11
클레,11
스토리,11
올랜도,11
가드,11
하든,11
인종차별,11
진출,11
도전,11
듀란트,11
헤인즈,11
복귀,11
전자랜드,10
다음,10
못한,10
계획,10
없다,10
톰슨,10
3년,10
트리플잼,10
데이비스,10
너무,10
마지막,10
2위,10
kt,10
당신,10
김연희,10
나카무라,10
아시아쿼터,9
중인,9
타이치,9
준비,9
관심,9
엠스플,9
20트리플잼,9
재개해도,9
FA,9
최초,9
포틀랜드,9
윌리엄슨,9
윌리엄스,9
코로나,9
외국선수,9
밀워키,9
가능성,9
휴스턴,9
주장,9
사망,9
